Title	Speaker	File	Language	Log
F20N1FR	F	../../Corpora/IFAcorpus/chunks/F20N/F20N1FR*.aifc	NL	FvsVperstyleData.tsv
F20N2VR	F	../../Corpora/IFAcorpus/chunks/F20N/F20N2VR1.aifc	NL	FvsVperstyleData.tsv
F24I1FR	F	../../Corpora/IFAcorpus/chunks/F24I/F24I1FR*.aifc	NL	FvsVperstyleData.tsv
F24I2VR	F	../../Corpora/IFAcorpus/chunks/F24I/F24I2VR1.aifc	NL	FvsVperstyleData.tsv
F28G1FR	F	../../Corpora/IFAcorpus/chunks/F28G/F28G1FR*.aifc	NL	FvsVperstyleData.tsv
F28G2VR	F	../../Corpora/IFAcorpus/chunks/F28G/F28G2VR1.aifc	NL	FvsVperstyleData.tsv
F40L1FR	F	../../Corpora/IFAcorpus/chunks/F20N/F20N1FR*.aifc	NL	FvsVperstyleData.tsv
F40L2VR	F	../../Corpora/IFAcorpus/chunks/F20N/F20N2VR1.aifc	NL	FvsVperstyleData.tsv
F60E1FR	F	../../Corpora/IFAcorpus/chunks/F20N/F20N1FR*.aifc	NL	FvsVperstyleData.tsv
F60E2VR	F	../../Corpora/IFAcorpus/chunks/F20N/F20N2VR1.aifc	NL	FvsVperstyleData.tsv
M15R1FR	M	../../Corpora/IFAcorpus/chunks/M15R/M15R1FR*.aifc	NL	FvsVperstyleData.tsv
M15R2VR	M	../../Corpora/IFAcorpus/chunks/M15R/M15R2VR1.aifc	NL	FvsVperstyleData.tsv
M40K1FR	M	../../Corpora/IFAcorpus/chunks/M40K/M40K1FR*.aifc	NL	FvsVperstyleData.tsv
M40K2VR	M	../../Corpora/IFAcorpus/chunks/M40K/M40K2VR1.aifc	NL	FvsVperstyleData.tsv
M56H1FR	M	../../Corpora/IFAcorpus/chunks/M56H/M56H1FR*.aifc	NL	FvsVperstyleData.tsv
M56H2VR	M	../../Corpora/IFAcorpus/chunks/M56H/M56H2VR1.aifc	NL	FvsVperstyleData.tsv
M58D1FR	M	../../Corpora/IFAcorpus/chunks/M58D/M58D1FR*.aifc	NL	FvsVperstyleData.tsv
