Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR1	N	20	1	F	R	1	F	153	89.8	47.2	100.5	74.2	111.5	-1.00	63	64.2	Burg
F20N1FR21	N	20	1	F	R	21	F	51	97.0	49.8	99.5	86.6	110.1	-1.00	25	64.4	Burg
F20N1FR210	N	20	1	F	R	210	F	80	91.9	50.6	95.6	84.2	108.6	-1.00	27	64.4	Burg
F20N1FR211	N	20	1	F	R	211	F	109	77.5	41.3	99.6	65.5	101.4	-1.00	34	65.4	Burg
F20N1FR22	N	20	1	F	R	22	F	48	78.0	40.4	90.3	72.7	103.4	-1.00	22	64.6	Burg
F20N1FR23	N	20	1	F	R	23	F	63	83.2	44.9	100.0	77.7	96.7	-1.00	24	63.9	Burg
F20N1FR24	N	20	1	F	R	24	F	51	94.5	49.9	115.1	73.7	105.2	-1.00	21	64.1	Burg
F20N1FR25	N	20	1	F	R	25	F	35	88.0	48.2	123.0	50.7	116.2	-1.00	20	62.0	Burg
F20N1FR26	N	20	1	F	R	26	F	41	85.0	47.6	118.1	53.5	111.8	-1.00	21	63.9	Burg
F20N1FR27	N	20	1	F	R	27	F	50	85.7	46.0	114.2	49.6	122.4	-1.00	26	62.2	Burg
F20N1FR28	N	20	1	F	R	28	F	55	97.6	49.7	93.2	87.6	116.8	-1.00	23	64.6	Burg
F20N1FR29	N	20	1	F	R	29	F	54	118.6	63.8	110.1	91.0	127.1	-1.00	26	63.5	Burg
F20N1FS1	N	20	1	F	S	1	F	88	87.1	46.2	104.8	72.2	104.9	-1.00	30	62.2	Burg
F20N1FS10	N	20	1	F	S	10	F	83	79.9	41.7	95.1	72.9	101.3	-1.00	31	63.8	Burg
F20N1FS11	N	20	1	F	S	11	F	91	79.0	41.9	103.1	71.8	93.2	-1.00	35	63.4	Burg
F20N1FS12	N	20	1	F	S	12	F	89	95.3	49.6	107.8	82.1	104.0	-1.00	33	64.9	Burg
F20N1FS2	N	20	1	F	S	2	F	73	81.6	44.6	107.5	57.5	110.9	-1.00	29	62.1	Burg
F20N1FS3	N	20	1	F	S	3	F	75	86.9	47.5	105.5	66.5	110.9	-1.00	31	63.4	Burg
F20N1FS4	N	20	1	F	S	4	F	60	93.7	49.1	113.0	89.1	89.3	-1.00	30	62.5	Burg
F20N1FS5	N	20	1	F	S	5	F	91	82.3	44.3	104.3	62.4	109.1	-1.00	30	64.0	Burg
F20N1FS6	N	20	1	F	S	6	F	81	91.0	47.1	102.3	74.4	111.5	-1.00	32	62.5	Burg
F20N1FS7	N	20	1	F	S	7	F	71	82.0	44.3	85.7	79.9	107.0	-1.00	29	63.2	Burg
F20N1FS8	N	20	1	F	S	8	F	77	87.4	45.9	101.1	74.1	107.0	-1.00	31	62.7	Burg
F20N1FS9	N	20	1	F	S	9	F	92	87.1	44.8	97.1	79.5	104.2	-1.00	35	63.7	Burg
F20N1FT1	N	20	1	F	T	1	F	118	86.7	45.9	93.6	83.8	102.4	-1.00	42	65.2	Burg
F20N1FT10	N	20	1	F	T	10	F	170	110.7	57.3	104.7	100.2	110.9	-1.00	60	63.8	Burg
F20N1FT11	N	20	1	F	T	11	F	72	95.5	50.6	103.8	77.5	113.7	-1.00	27	64.5	Burg
F20N1FT2	N	20	1	F	T	2	F	143	82.6	43.7	104.7	68.6	101.4	-1.00	48	64.7	Burg
F20N1FT3	N	20	1	F	T	3	F	34	73.0	38.7	102.2	51.6	108.3	-1.00	14	66.1	Burg
F20N1FT4	N	20	1	F	T	4	F	117	92.0	48.6	103.1	82.9	102.5	-1.00	44	64.1	Burg
F20N1FT5	N	20	1	F	T	5	F	30	122.0	63.6	106.7	102.1	123.1	-1.00	11	65.4	Burg
F20N1FT6	N	20	1	F	T	6	F	121	114.0	58.0	112.5	98.1	110.0	-1.00	46	65.0	Burg
F20N1FT7	N	20	1	F	T	7	F	61	112.3	57.2	114.6	96.5	107.2	-1.00	23	63.7	Burg
F20N1FT8	N	20	1	F	T	8	F	47	97.7	50.4	108.0	80.3	109.6	-1.00	18	64.8	Burg
F20N1FT9	N	20	1	F	T	9	F	53	84.9	45.7	94.6	75.6	107.5	-1.00	19	63.3	Burg
F20N1FW1	N	20	1	F	W	1	F	16	135.8	74.9	106.4	147.3	98.9	-1.00	20	58.0	Burg
F20N1FW2	N	20	1	F	W	2	F	19	91.4	49.1	95.1	92.6	99.2	-1.00	20	59.6	Burg
F20N1FW3	N	20	1	F	W	3	F	20	99.8	52.1	117.2	88.1	95.5	-1.00	20	59.8	Burg
F20N1FW4	N	20	1	F	W	4	F	22	105.7	56.3	114.6	74.7	122.2	-1.00	20	59.4	Burg
F20N1FW5	N	20	1	F	W	5	F	19	110.9	64.3	120.0	86.1	111.3	-1.00	23	60.6	Burg
F20N1FW6	N	20	1	F	W	6	F	19	100.2	53.4	91.9	102.1	106.6	-1.00	20	60.0	Burg
F20N1FW7	N	20	1	F	W	7	F	23	121.8	62.5	87.3	123.9	121.8	-1.00	22	60.6	Burg
F20N1FW8	N	20	1	F	W	8	F	23	96.1	52.4	107.0	64.3	128.1	-1.00	21	60.8	Burg
F20N1FW9	N	20	1	F	W	9	F	22	101.4	53.4	126.7	70.4	109.1	-1.00	22	60.2	Burg
F20N1FY1	N	20	1	F	Y	1	F	8	81.6	48.6	88.1	68.2	118.2	-1.00	20	58.6	Burg
F20N1FY2	N	20	1	F	Y	2	F	12	85.5	44.2	93.5	76.2	109.2	-1.00	20	60.3	Burg
F20N1FY3	N	20	1	F	Y	3	F	13	148.9	76.8	120.3	130.9	115.2	-1.00	21	59.3	Burg
F20N1FY4	N	20	1	F	Y	4	F	14	98.7	49.2	98.9	88.5	111.3	-1.00	20	62.1	Burg
F20N1FY5	N	20	1	F	Y	5	F	15	100.5	52.6	106.4	107.6	87.4	-1.00	21	59.9	Burg
