Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR1	N	20	1	F	R	1	F	154	80.3	41.8	82.0	84.4	103.1	-1.00	63	64.2	Robust
F20N1FR21	N	20	1	F	R	21	F	50	68.7	35.4	76.4	70.1	104.3	-1.00	25	64.4	Robust
F20N1FR210	N	20	1	F	R	210	F	76	84.1	45.1	84.3	81.9	110.2	-1.00	27	64.4	Robust
F20N1FR211	N	20	1	F	R	211	F	110	62.7	33.3	85.6	60.1	94.0	-1.00	34	65.4	Robust
F20N1FR22	N	20	1	F	R	22	F	48	68.0	34.4	66.7	80.6	102.1	-1.00	22	64.6	Robust
F20N1FR23	N	20	1	F	R	23	F	63	77.0	40.2	89.5	79.0	95.2	-1.00	24	63.9	Robust
F20N1FR24	N	20	1	F	R	24	F	51	91.6	46.9	91.8	86.7	109.4	-1.00	21	64.1	Robust
F20N1FR25	N	20	1	F	R	25	F	35	69.9	38.4	103.4	48.4	105.2	-1.00	20	62.0	Robust
F20N1FR26	N	20	1	F	R	26	F	41	60.5	34.0	93.4	40.4	107.3	-1.00	21	63.9	Robust
F20N1FR27	N	20	1	F	R	27	F	51	62.4	33.8	95.2	53.4	91.9	-1.00	26	62.2	Robust
F20N1FR28	N	20	1	F	R	28	F	55	72.5	37.3	77.3	74.4	105.3	-1.00	23	64.6	Robust
F20N1FR29	N	20	1	F	R	29	F	55	87.5	46.9	91.5	75.3	116.1	-1.00	26	63.5	Robust
F20N1FS1	N	20	1	F	S	1	F	85	65.4	34.8	84.7	64.0	95.5	-1.00	30	62.2	Robust
F20N1FS10	N	20	1	F	S	10	F	82	77.5	39.8	81.0	84.0	99.6	-1.00	31	63.8	Robust
F20N1FS11	N	20	1	F	S	11	F	91	67.4	35.6	84.5	70.8	91.7	-1.00	35	63.4	Robust
F20N1FS12	N	20	1	F	S	12	F	89	67.8	34.8	86.7	69.6	91.4	-1.00	33	64.9	Robust
F20N1FS2	N	20	1	F	S	2	F	73	72.5	38.3	90.3	56.1	114.0	-1.00	29	62.1	Robust
F20N1FS3	N	20	1	F	S	3	F	73	70.2	37.2	91.2	69.6	91.5	-1.00	31	63.4	Robust
F20N1FS4	N	20	1	F	S	4	F	64	81.5	42.7	103.3	79.8	88.5	-1.00	30	62.5	Robust
F20N1FS5	N	20	1	F	S	5	F	91	70.2	37.1	88.6	65.8	98.6	-1.00	30	64.0	Robust
F20N1FS6	N	20	1	F	S	6	F	79	76.8	41.0	93.5	72.4	98.0	-1.00	32	62.5	Robust
F20N1FS7	N	20	1	F	S	7	F	71	76.0	39.7	74.7	83.0	105.2	-1.00	29	63.2	Robust
F20N1FS8	N	20	1	F	S	8	F	74	77.4	39.5	91.1	79.8	93.3	-1.00	31	62.7	Robust
F20N1FS9	N	20	1	F	S	9	F	92	70.0	36.7	84.6	72.2	95.0	-1.00	35	63.7	Robust
F20N1FT1	N	20	1	F	T	1	F	118	72.0	37.8	79.4	78.7	97.0	-1.00	42	65.2	Robust
F20N1FT10	N	20	1	F	T	10	F	169	78.0	41.0	84.1	81.3	100.0	-1.00	60	63.8	Robust
F20N1FT11	N	20	1	F	T	11	F	72	76.0	39.0	82.9	71.1	109.9	-1.00	27	64.5	Robust
F20N1FT2	N	20	1	F	T	2	F	143	74.2	38.2	87.3	75.3	96.6	-1.00	48	64.7	Robust
F20N1FT3	N	20	1	F	T	3	F	34	81.2	43.5	86.9	73.9	111.5	-1.00	14	66.1	Robust
F20N1FT4	N	20	1	F	T	4	F	116	77.9	40.1	87.3	79.9	98.0	-1.00	44	64.1	Robust
F20N1FT5	N	20	1	F	T	5	F	30	94.8	48.6	99.2	98.0	94.9	-1.00	11	65.4	Robust
F20N1FT6	N	20	1	F	T	6	F	120	89.8	44.8	93.0	87.1	104.6	-1.00	46	65.0	Robust
