Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR1	N	20	1	F	R	1	F	153	90.9	49.2	107.6	75.2	104.9	-1.00	63	64.2	SL
F20N1FR21	N	20	1	F	R	21	F	52	102.2	54.5	108.0	82.4	114.3	-1.00	25	64.4	SL
F20N1FR210	N	20	1	F	R	210	F	79	93.8	52.4	107.2	77.7	107.0	-1.00	27	64.4	SL
F20N1FR211	N	20	1	F	R	211	F	109	85.9	47.8	109.6	70.3	100.4	-1.00	34	65.4	SL
F20N1FR22	N	20	1	F	R	22	F	49	86.6	45.7	95.9	81.1	102.9	-1.00	22	64.6	SL
F20N1FR23	N	20	1	F	R	23	F	65	106.5	55.2	108.3	92.7	109.0	-1.00	24	63.9	SL
F20N1FR24	N	20	1	F	R	24	F	50	96.1	51.7	120.3	71.0	106.0	-1.00	21	64.1	SL
F20N1FR25	N	20	1	F	R	25	F	34	134.8	72.7	128.4	101.1	119.7	-1.00	20	62.0	SL
F20N1FR26	N	20	1	F	R	26	F	41	94.4	51.8	117.6	69.0	108.2	-1.00	21	63.9	SL
F20N1FR27	N	20	1	F	R	27	F	51	76.0	43.1	107.5	59.5	98.1	-1.00	26	62.2	SL
F20N1FR28	N	20	1	F	R	28	F	55	92.0	48.6	88.6	90.8	109.0	-1.00	23	64.6	SL
F20N1FR29	N	20	1	F	R	29	F	54	111.6	59.6	117.8	79.7	122.1	-1.00	26	63.5	SL
F20N1FS1	N	20	1	F	S	1	F	87	93.2	48.8	110.0	80.5	100.3	-1.00	30	62.2	SL
F20N1FS10	N	20	1	F	S	10	F	82	85.7	45.3	103.7	66.4	110.6	-1.00	31	63.8	SL
F20N1FS11	N	20	1	F	S	11	F	91	84.6	45.4	111.5	70.1	96.7	-1.00	35	63.4	SL
F20N1FS12	N	20	1	F	S	12	F	89	96.5	51.5	114.6	79.5	102.3	-1.00	33	64.9	SL
F20N1FS2	N	20	1	F	S	2	F	72	102.7	54.1	113.4	82.1	110.0	-1.00	29	62.1	SL
F20N1FS3	N	20	1	F	S	3	F	74	90.7	50.9	107.9	72.5	107.6	-1.00	31	63.4	SL
F20N1FS4	N	20	1	F	S	4	F	60	100.0	52.7	123.8	87.4	90.8	-1.00	30	62.5	SL
F20N1FS5	N	20	1	F	S	5	F	92	84.8	45.0	112.6	62.5	105.1	-1.00	30	64.0	SL
F20N1FS6	N	20	1	F	S	6	F	81	88.8	47.1	118.1	63.9	104.9	-1.00	32	62.5	SL
F20N1FS7	N	20	1	F	S	7	F	72	94.0	50.7	101.8	79.3	111.1	-1.00	29	63.2	SL
F20N1FS8	N	20	1	F	S	8	F	76	86.2	45.0	112.5	67.3	101.7	-1.00	31	62.7	SL
