Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR1	N	20	1	F	R	1	F	151	91.6	46.9	88.6	97.0	101.6	15.64	63	69.6	Robust
F20N1FR21	N	20	1	F	R	21	F	50	76.6	40.4	80.2	81.8	101.5	15.49	25	70.0	Robust
F20N1FR210	N	20	1	F	R	210	F	78	85.4	46.2	86.4	90.7	100.5	15.47	27	70.0	Robust
F20N1FR211	N	20	1	F	R	211	F	110	70.3	37.4	91.4	63.4	98.8	15.62	34	71.0	Robust
F20N1FR22	N	20	1	F	R	22	F	50	74.2	38.4	73.2	83.1	103.5	15.81	22	70.1	Robust
F20N1FR23	N	20	1	F	R	23	F	60	72.7	38.1	87.6	80.1	88.3	15.56	24	69.6	Robust
F20N1FR24	N	20	1	F	R	24	F	51	81.0	40.7	103.9	71.5	96.2	15.68	21	69.7	Robust
F20N1FR25	N	20	1	F	R	25	F	33	96.2	51.2	101.7	86.2	106.9	15.38	20	67.4	Robust
F20N1FR26	N	20	1	F	R	26	F	41	103.1	55.7	109.6	87.8	107.9	15.72	21	69.6	Robust
F20N1FR27	N	20	1	F	R	27	F	51	73.9	39.8	101.9	65.0	93.2	15.65	26	67.9	Robust
F20N1FR28	N	20	1	F	R	28	F	53	73.5	38.2	81.6	72.0	105.2	15.51	23	70.1	Robust
F20N1FR29	N	20	1	F	R	29	F	58	99.2	51.4	100.7	80.0	120.2	15.60	26	68.9	Robust
F20N1FS1	N	20	1	F	S	1	F	84	69.5	35.6	98.0	63.4	90.8	15.66	30	67.8	Robust
F20N1FS10	N	20	1	F	S	10	F	79	81.1	42.9	95.0	76.8	99.2	15.64	31	69.0	Robust
F20N1FS11	N	20	1	F	S	11	F	90	71.1	38.1	97.4	70.7	86.0	15.59	35	68.9	Robust
F20N1FS12	N	20	1	F	S	12	F	88	78.7	41.2	98.3	74.2	94.5	15.56	33	70.0	Robust
F20N1FS2	N	20	1	F	S	2	F	73	78.9	41.7	95.5	70.7	101.8	15.47	29	67.6	Robust
F20N1FS3	N	20	1	F	S	3	F	72	83.9	44.8	95.1	76.5	104.4	15.65	31	68.7	Robust
F20N1FS4	N	20	1	F	S	4	F	60	86.5	45.8	107.1	91.3	81.6	15.67	30	68.3	Robust
F20N1FS5	N	20	1	F	S	5	F	91	84.0	44.2	96.9	76.5	102.4	15.69	30	69.4	Robust
F20N1FS6	N	20	1	F	S	6	F	78	79.5	42.0	95.7	71.5	101.7	15.72	32	68.0	Robust
F20N1FS7	N	20	1	F	S	7	F	70	76.2	40.4	81.4	77.4	104.3	15.74	29	68.6	Robust
F20N1FS8	N	20	1	F	S	8	F	76	85.5	45.0	94.5	80.3	103.3	15.61	31	68.2	Robust
F20N1FS9	N	20	1	F	S	9	F	92	80.5	41.5	91.8	76.8	101.5	15.70	35	69.1	Robust
F20N1FT1	N	20	1	F	T	1	F	120	81.7	43.7	87.1	80.5	104.4	15.58	42	70.5	Robust
F20N1FT10	N	20	1	F	T	10	F	166	97.4	51.6	94.4	98.3	103.3	15.63	60	69.4	Robust
F20N1FT11	N	20	1	F	T	11	F	69	84.1	44.6	93.2	77.2	105.8	15.73	27	69.8	Robust
F20N1FT2	N	20	1	F	T	2	F	142	77.3	39.9	91.6	79.9	92.5	15.69	48	70.3	Robust
F20N1FT3	N	20	1	F	T	3	F	35	81.0	42.8	91.0	74.0	106.4	15.72	14	71.1	Robust
F20N1FT4	N	20	1	F	T	4	F	114	91.6	47.3	95.7	93.1	98.3	15.65	44	69.5	Robust
F20N1FT5	N	20	1	F	T	5	F	30	97.6	51.0	110.4	89.0	97.6	15.39	11	70.6	Robust
F20N1FT6	N	20	1	F	T	6	F	121	103.2	52.0	103.7	93.1	108.3	15.70	46	70.6	Robust
F20N1FT7	N	20	1	F	T	7	F	62	90.7	47.8	105.4	72.1	110.6	15.73	23	69.2	Robust
F20N1FT8	N	20	1	F	T	8	F	44	91.9	46.7	104.3	76.2	108.7	15.62	18	70.2	Robust
F20N1FT9	N	20	1	F	T	9	F	52	79.0	41.1	84.1	78.0	105.6	15.80	19	69.0	Robust
F20N1FW1	N	20	1	F	W	1	F	15	87.0	48.9	92.6	78.2	110.5	15.46	20	62.9	Robust
F20N1FW2	N	20	1	F	W	2	F	19	79.4	40.0	84.3	81.4	102.5	15.63	20	64.6	Robust
F20N1FW3	N	20	1	F	W	3	F	21	107.4	54.4	106.7	87.2	118.2	15.80	20	65.0	Robust
