Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR1	N	20	1	F	R	1	F	153	89.4	48.3	107.5	68.5	110.5	16.57	63	64.2	SL
F20N1FR21	N	20	1	F	R	21	F	52	101.5	54.1	109.2	81.4	113.1	16.47	25	64.4	SL
F20N1FR210	N	20	1	F	R	210	F	79	91.5	51.8	108.4	70.4	110.8	16.43	27	64.4	SL
F20N1FR211	N	20	1	F	R	211	F	109	86.2	47.2	109.0	64.2	108.9	16.63	34	65.4	SL
F20N1FR22	N	20	1	F	R	22	F	49	95.3	50.3	97.0	85.3	111.4	16.54	22	64.6	SL
F20N1FR23	N	20	1	F	R	23	F	65	108.6	57.3	108.2	91.9	113.1	16.40	24	63.9	SL
F20N1FR24	N	20	1	F	R	24	F	50	96.4	52.0	121.7	67.0	110.1	16.57	21	64.1	SL
F20N1FR25	N	20	1	F	R	25	F	34	134.5	72.5	126.8	94.8	127.8	16.65	20	62.0	SL
F20N1FR26	N	20	1	F	R	26	M	41	89.2	48.2	105.1	63.4	119.2	16.70	21	63.9	SL
F20N1FR27	N	20	1	F	R	27	F	51	72.9	41.9	109.2	48.5	105.2	16.63	26	62.2	SL
F20N1FR28	N	20	1	F	R	28	F	55	94.2	50.5	90.0	89.6	112.4	16.64	23	64.6	SL
F20N1FR29	N	20	1	F	R	29	F	54	108.2	58.5	119.4	72.5	124.0	16.57	26	63.5	SL
F20N1FS1	N	20	1	F	S	1	F	87	92.3	48.6	108.5	78.5	102.6	16.19	30	62.2	SL
F20N1FS10	N	20	1	F	S	10	F	82	85.5	45.5	102.6	66.8	111.0	16.13	31	63.8	SL
F20N1FS11	N	20	1	F	S	11	F	91	84.2	44.9	111.6	68.0	98.4	16.09	35	63.4	SL
F20N1FS12	N	20	1	F	S	12	F	89	98.2	53.1	115.0	79.2	104.8	16.19	33	64.9	SL
F20N1FS2	N	20	1	F	S	2	F	72	103.1	54.1	114.5	78.9	113.1	16.18	29	62.1	SL
F20N1FS3	N	20	1	F	S	3	F	74	92.2	50.6	111.4	65.0	115.7	16.53	31	63.4	SL
F20N1FS4	N	20	1	F	S	4	F	60	100.5	53.0	124.2	84.3	94.4	16.20	30	62.5	SL
F20N1FS5	N	20	1	F	S	5	F	92	85.3	45.4	113.4	60.4	107.8	16.18	30	64.0	SL
F20N1FS6	N	20	1	F	S	6	F	81	86.7	46.4	118.3	60.4	105.7	16.23	32	62.5	SL
F20N1FS7	N	20	1	F	S	7	F	72	92.9	49.7	102.9	72.8	116.0	16.43	29	63.2	SL
F20N1FS8	N	20	1	F	S	8	F	76	88.1	46.5	112.5	66.2	106.2	16.36	31	62.7	SL
F20N1FS9	N	20	1	F	S	9	F	92	90.3	48.2	103.9	74.9	108.0	16.19	35	63.7	SL
F20N1FT1	N	20	1	F	T	1	F	118	90.0	49.1	104.1	74.6	107.7	16.28	42	65.2	SL
F20N1FT10	N	20	1	F	T	10	F	170	104.7	56.5	115.0	84.4	108.9	16.29	60	63.8	SL
F20N1FT11	N	20	1	F	T	11	F	72	91.0	48.3	106.0	64.9	119.5	16.28	27	64.5	SL
F20N1FT2	N	20	1	F	T	2	F	141	85.2	45.9	116.3	62.1	102.8	16.36	48	64.7	SL
F20N1FT3	N	20	1	F	T	3	F	34	90.7	46.5	113.3	65.5	110.6	16.15	14	66.1	SL
F20N1FT4	N	20	1	F	T	4	F	115	86.7	46.0	112.7	66.6	103.2	16.29	44	64.1	SL
F20N1FT5	N	20	1	F	T	5	F	30	121.9	66.4	112.6	107.5	111.2	16.31	11	65.4	SL
F20N1FT6	N	20	1	F	T	6	F	122	104.0	53.1	114.6	82.7	110.1	16.52	46	65.0	SL
F20N1FT7	N	20	1	F	T	7	F	61	112.9	60.3	120.1	87.0	113.1	16.47	23	63.7	SL
F20N1FT8	N	20	1	F	T	8	F	47	103.7	55.1	113.4	76.3	118.5	16.58	18	64.8	SL
F20N1FT9	N	20	1	F	T	9	F	52	81.9	43.9	101.4	63.7	109.9	16.51	19	63.3	SL
F20N1FW1	N	20	1	F	W	1	F	16	88.3	51.7	113.1	59.4	114.7	16.22	20	58.0	SL
F20N1FW2	N	20	1	F	W	2	F	19	95.9	52.7	96.9	87.9	109.5	16.09	20	59.6	SL
F20N1FW3	N	20	1	F	W	3	F	20	91.2	49.7	116.1	75.3	97.2	16.13	20	59.8	SL
F20N1FW4	N	20	1	F	W	4	F	22	85.8	47.6	121.0	51.5	113.0	16.01	20	59.4	SL
F20N1FW5	N	20	1	F	W	5	F	19	119.9	65.5	127.3	83.8	119.7	16.01	23	60.6	SL
F20N1FW6	N	20	1	F	W	6	F	19	105.2	58.8	105.5	96.2	106.2	16.05	20	60.0	SL
F20N1FW7	N	20	1	F	W	7	F	23	97.0	53.1	94.1	83.8	119.3	16.06	22	60.6	SL
F20N1FW8	N	20	1	F	W	8	F	22	107.8	56.3	111.1	88.5	112.8	16.17	21	60.8	SL
F20N1FW9	N	20	1	F	W	9	F	22	96.3	51.4	121.2	69.5	107.3	16.12	22	60.2	SL
F20N1FY1	N	20	1	F	Y	1	F	8	91.6	53.6	100.5	66.5	124.6	16.21	20	58.6	SL
F20N1FY2	N	20	1	F	Y	2	F	12	85.5	48.8	94.5	59.6	129.9	16.23	20	60.3	SL
F20N1FY3	N	20	1	F	Y	3	F	13	68.7	41.4	101.4	45.1	109.5	16.15	21	59.3	SL
F20N1FY4	N	20	1	F	Y	4	F	14	118.2	57.9	102.2	99.3	125.6	16.24	20	62.1	SL
F20N1FY5	N	20	1	F	Y	5	F	16	102.0	57.2	115.7	77.9	111.5	15.87	21	59.9	SL
F20N1FY6	N	20	1	F	Y	6	F	13	97.2	56.0	116.1	89.4	91.4	16.23	20	60.7	SL
F20N1FY7	N	20	1	F	Y	7	F	14	102.4	56.6	101.4	79.8	124.9	16.29	20	60.7	SL
F20N1FY8	N	20	1	F	Y	8	F	15	119.1	65.7	126.4	74.2	131.3	16.06	20	60.3	SL
F20N1FY9	N	20	1	F	Y	9	F	18	107.7	61.5	118.5	73.9	122.5	16.32	22	60.5	SL
F20N1VI1	N	20	1	V	I	1	F	51	92.5	49.1	100.5	81.1	108.1	16.31	16	62.1	SL
F20N1VI10	N	20	1	V	I	10	F	69	71.7	38.3	98.2	57.7	101.7	16.27	31	62.9	SL
F20N1VI11	N	20	1	V	I	11	F	126	85.1	46.3	98.8	66.1	115.3	16.31	45	67.2	SL
F20N1VI12	N	20	1	V	I	12	F	109	92.7	48.8	111.3	66.0	115.5	16.30	38	67.6	SL
F20N1VI13	N	20	1	V	I	13	F	91	75.7	40.1	97.7	57.6	110.2	16.33	33	66.6	SL
F20N1VI14	N	20	1	V	I	14	F	30	77.4	43.2	96.5	71.5	97.1	16.55	12	64.4	SL
F20N1VI15	N	20	1	V	I	15	F	53	78.8	42.9	101.3	56.5	113.6	16.38	19	66.1	SL
F20N1VI16	N	20	1	V	I	16	F	88	74.0	40.3	95.4	60.1	105.9	16.30	33	65.3	SL
F20N1VI17	N	20	1	V	I	17	F	118	71.0	38.4	101.4	50.0	107.1	16.33	40	67.0	SL
F20N1VI18	N	20	1	V	I	18	F	82	70.7	38.4	102.6	45.4	111.8	16.33	29	67.5	SL
F20N1VI19	N	20	1	V	I	19	F	59	70.8	38.8	100.6	46.7	112.2	16.49	24	66.7	SL
