Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR	N	20	1	F	R	?	F	1438	93.3	49.5	104.2	77.2	110.0	-1.00	608	64.1	Burg
F20N2VR	N	20	2	V	R	?	F	826	90.3	47.5	106.5	68.5	113.2	-1.00	290	67.5	Burg
F24I1FR	I	24	1	F	R	?	F	1297	97.4	52.0	106.6	91.7	98.1	-1.00	545	65.0	Burg
F24I2VR	I	24	2	V	R	?	F	250	110.3	60.1	113.1	92.1	110.5	-1.00	163	64.6	Burg
F28G1FR	G	28	1	F	R	?	F	1401	130.2	68.6	115.9	108.1	118.5	-1.00	475	61.2	Burg
F28G2VR	G	28	2	V	R	?	F	1105	115.0	60.7	107.9	94.1	120.5	-1.00	347	62.7	Burg
F40L1FR	L	40	1	F	R	?	F	1438	93.3	49.5	104.2	77.2	110.0	-1.00	608	64.1	Burg
F40L2VR	L	40	2	V	R	?	F	826	90.3	47.5	106.5	68.5	113.2	-1.00	290	67.5	Burg
F60E1FR	E	60	1	F	R	?	F	1438	93.3	49.5	104.2	77.2	110.0	-1.00	608	64.1	Burg
F60E2VR	E	60	2	V	R	?	F	826	90.3	47.5	106.5	68.5	113.2	-1.00	290	67.5	Burg
M15R1FR	R	15	1	F	R	?	M	918	76.3	41.1	82.2	65.3	118.8	-1.00	389	62.6	Burg
M15R2VR	R	15	2	V	R	?	M	369	64.1	33.9	77.8	59.5	106.3	-1.00	160	60.2	Burg
M40K1FR	K	40	1	F	R	?	M	406	89.0	48.2	96.5	94.9	91.6	-1.00	222	69.7	Burg
M40K2VR	K	40	2	V	R	?	M	483	92.6	49.3	99.2	91.7	97.8	-1.00	217	68.4	Burg
M56H1FR	H	56	1	F	R	?	M	1652	98.5	52.3	109.0	100.1	89.0	-1.00	683	66.6	Burg
M56H2VR	H	56	2	V	R	?	M	354	87.7	44.9	93.5	96.3	91.1	-1.00	138	64.3	Burg
M58D1FR	D	58	1	F	R	?	M	1286	100.6	52.5	96.1	98.9	106.0	-1.00	542	65.0	Burg
M58D2VR	D	58	2	V	R	?	M	280	88.1	47.0	96.0	87.4	98.3	-1.00	130	65.2	Burg
M66O1FR	O	66	1	F	R	?	M	1604	92.7	48.8	94.2	93.1	101.7	-1.00	1046	63.5	Burg
M66O2VR	O	66	2	V	R	?	M	628	93.7	49.8	99.5	84.9	106.6	-1.00	300	64.7	Burg
F20N1FT	N	20	1	F	T	?	F	963	94.9	49.6	105.7	79.6	108.2	-1.00	351	64.5	Burg
F20N2VT	N	20	2	V	T	?	F	1649	93.8	49.2	109.8	74.5	108.3	-1.00	567	65.5	Burg
F24I1FT	I	24	1	F	T	?	F	1142	86.4	45.8	86.7	88.9	103.7	-1.00	367	69.1	Burg
F24I2VT	I	24	2	V	T	?	F	1451	97.6	52.1	103.3	83.2	110.9	-1.00	485	70.4	Burg
F28G1FT	G	28	1	F	T	?	F	1234	129.7	69.0	109.2	113.7	119.0	-1.00	458	63.7	Burg
F28G2VT	G	28	2	V	T	?	F	2116	118.9	62.8	111.0	99.2	117.3	-1.00	646	63.9	Burg
F40L1FT	L	40	1	F	T	?	F	963	94.9	49.6	105.7	79.6	108.2	-1.00	351	64.5	Burg
F40L2VT	L	40	2	V	T	?	F	1649	93.8	49.2	109.8	74.5	108.3	-1.00	567	65.5	Burg
F60E1FT	E	60	1	F	T	?	F	963	94.9	49.6	105.7	79.6	108.2	-1.00	351	64.5	Burg
F60E2VT	E	60	2	V	T	?	F	1649	93.8	49.2	109.8	74.5	108.3	-1.00	567	65.5	Burg
M15R1FT	R	15	1	F	T	?	M	798	80.9	42.8	89.4	62.7	122.7	-1.00	352	61.6	Burg
M15R2VT	R	15	2	V	T	?	M	602	65.0	34.2	77.6	55.2	114.7	-1.00	247	64.2	Burg
M40K1FT	K	40	1	F	T	?	M	912	86.4	46.3	94.7	84.0	100.5	-1.00	368	69.8	Burg
M40K2VT	K	40	2	V	T	?	M	867	94.7	50.5	103.9	88.0	100.5	-1.00	331	71.4	Burg
M56H1FT	H	56	1	F	T	?	M	1194	91.0	47.7	103.7	89.7	93.1	-1.00	425	66.9	Burg
M56H2VT	H	56	2	V	T	?	M	912	93.9	50.1	107.6	88.9	94.6	-1.00	343	64.2	Burg
M58D1FT	D	58	1	F	T	?	M	950	103.2	53.7	97.8	97.3	109.9	-1.00	436	69.4	Burg
M58D2VT	D	58	2	V	T	?	M	1538	94.5	49.2	100.3	87.0	104.8	-1.00	606	70.3	Burg
M66O1FT	O	66	1	F	T	?	M	1230	108.6	56.9	103.1	98.4	111.3	-1.00	584	66.8	Burg
M66O2VT	O	66	2	V	T	?	M	1236	94.0	49.5	107.6	81.7	102.5	-1.00	535	67.1	Burg
F20N1FS	N	20	1	F	S	?	F	990	88.4	46.6	102.5	76.8	103.9	-1.00	389	63.3	Burg
F20N2VS	N	20	2	V	S	?	F	1656	93.2	49.1	112.4	72.8	106.8	-1.00	658	65.1	Burg
F24I1FS	I	24	1	F	S	?	F	1251	87.7	46.3	85.5	90.1	105.9	-1.00	508	67.2	Burg
F24I2VS	I	24	2	V	S	?	F	1528	98.3	52.9	109.5	77.0	113.0	-1.00	592	68.2	Burg
F28G1FS	G	28	1	F	S	?	F	1315	125.3	65.9	109.7	108.8	117.4	-1.00	523	61.3	Burg
F28G2VS	G	28	2	V	S	?	F	2233	115.1	60.7	108.5	99.1	114.6	-1.00	827	62.6	Burg
