Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR	N	20	1	F	R	?	F	787	75.5	40.0	86.1	73.5	102.3	-1.00	333	64.1	Robust
F20N2VR	N	20	2	V	R	?	F	826	72.6	37.8	89.0	63.4	105.9	-1.00	290	67.5	Robust
F24I1FR	I	24	1	F	R	?	F	680	80.7	42.1	86.6	83.2	100.2	-1.00	281	65.3	Robust
F24I2VR	I	24	2	V	R	?	F	252	89.5	48.7	98.0	79.7	107.1	-1.00	163	64.6	Robust
F28G1FR	G	28	1	F	R	?	F	777	110.1	57.7	101.5	98.8	114.8	-1.00	265	61.3	Robust
F28G2VR	G	28	2	V	R	?	F	1100	97.0	50.5	92.2	87.7	116.9	-1.00	347	62.7	Robust
F40L1FR	L	40	1	F	R	?	F	465	104.4	55.3	93.7	104.5	108.6	-1.00	192	63.5	Robust
F40L2VR	L	40	2	V	R	?	F	751	99.0	52.6	91.3	97.5	110.2	-1.00	300	63.0	Robust
F60E1FR	E	60	1	F	R	?	F	920	84.2	43.4	87.7	84.0	104.1	-1.00	416	66.5	Robust
F60E2VR	E	60	2	V	R	?	F	1235	90.3	46.9	87.1	92.3	106.2	-1.00	475	68.1	Robust
M15R1FR	R	15	1	F	R	?	M	516	71.5	38.6	77.8	62.9	117.6	-1.00	222	62.6	Robust
M15R2VR	R	15	2	V	R	?	M	352	60.1	32.2	70.5	59.0	107.1	-1.00	160	60.2	Robust
M40K1FR	K	40	1	F	R	?	M	236	78.2	42.6	81.9	86.3	97.5	-1.00	129	69.8	Robust
M40K2VR	K	40	2	V	R	?	M	475	83.3	44.7	88.4	86.9	98.8	-1.00	217	68.4	Robust
M56H1FR	H	56	1	F	R	?	M	868	94.3	50.7	100.3	96.7	94.5	-1.00	358	66.5	Robust
M56H2VR	H	56	2	V	R	?	M	354	78.8	41.4	81.4	90.3	94.9	-1.00	138	64.3	Robust
