Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR	N	20	1	F	R	?	F	788	95.1	51.1	110.6	77.0	106.6	-1.00	333	64.1	SL
F20N2VR	N	20	2	V	R	?	F	829	90.6	48.8	116.8	59.1	115.3	-1.00	290	67.5	SL
F24I1FR	I	24	1	F	R	?	F	674	91.8	49.3	109.9	80.8	97.9	-1.00	281	65.3	SL
F24I2VR	I	24	2	V	R	?	F	258	102.8	55.8	119.0	73.7	114.6	-1.00	163	64.6	SL
F28G1FR	G	28	1	F	R	?	F	779	102.9	55.1	117.0	95.3	92.9	-1.00	265	61.3	SL
F28G2VR	G	28	2	V	R	?	F	1099	96.7	51.0	111.7	83.9	100.3	-1.00	347	62.7	SL
F40L1FR	L	40	1	F	R	?	F	458	96.5	51.1	100.8	90.5	103.6	-1.00	192	63.5	SL
F40L2VR	L	40	2	V	R	?	F	731	96.1	50.3	101.2	89.5	103.8	-1.00	300	63.0	SL
F60E1FR	E	60	1	F	R	?	F	930	102.8	54.4	112.1	86.6	106.3	-1.00	416	66.5	SL
F60E2VR	E	60	2	V	R	?	F	1258	110.4	58.4	113.7	91.8	110.3	-1.00	475	68.1	SL
M15R1FR	R	15	1	F	R	?	M	517	63.0	34.3	77.7	57.8	106.2	-1.00	222	62.6	SL
M15R2VR	R	15	2	V	R	?	M	363	54.0	28.8	70.9	56.7	95.5	-1.00	160	60.2	SL
M40K1FR	K	40	1	F	R	?	M	238	82.1	44.8	93.9	88.8	89.2	-1.00	129	69.8	SL
M40K2VR	K	40	2	V	R	?	M	484	81.0	43.5	95.0	81.4	93.8	-1.00	217	68.4	SL
M56H1FR	H	56	1	F	R	?	M	879	86.4	46.8	100.9	92.5	85.7	-1.00	358	66.5	SL
M56H2VR	H	56	2	V	R	?	M	361	70.0	37.2	81.3	89.0	80.8	-1.00	138	64.3	SL
M58D1FR	D	58	1	F	R	?	M	713	89.7	47.5	94.3	92.2	97.7	-1.00	301	65.0	SL
M58D2VR	D	58	2	V	R	?	M	283	76.6	41.0	94.6	74.1	94.7	-1.00	130	65.2	SL
M66O1FR	O	66	1	F	R	?	M	866	75.3	40.0	87.9	89.4	83.0	-1.00	557	63.7	SL
M66O2VR	O	66	2	V	R	?	M	622	77.9	41.8	95.0	78.9	91.4	-1.00	300	64.7	SL
F20N1FT	N	20	1	F	T	?	F	958	98.2	52.0	113.1	79.6	106.2	-1.00	351	64.5	SL
F20N2VT	N	20	2	V	T	?	F	1648	97.0	51.7	119.7	69.4	109.8	-1.00	567	65.5	SL
F24I1FT	I	24	1	F	T	?	F	1143	82.5	43.4	90.3	79.0	104.0	-1.00	367	69.1	SL
F24I2VT	I	24	2	V	T	?	F	1451	93.2	49.9	110.7	69.8	112.1	-1.00	485	70.4	SL
F28G1FT	G	28	1	F	T	?	F	1231	107.8	57.0	110.7	101.3	99.7	-1.00	458	63.7	SL
F28G2VT	G	28	2	V	T	?	F	2109	101.3	53.8	112.4	86.7	103.8	-1.00	646	63.9	SL
F40L1FT	L	40	1	F	T	?	F	1067	119.3	63.5	114.6	97.4	116.2	-1.00	375	67.0	SL
F40L2VT	L	40	2	V	T	?	F	1328	108.1	57.5	110.8	85.3	117.3	-1.00	420	66.3	SL
F60E1FT	E	60	1	F	T	?	F	1020	119.9	63.0	113.8	109.0	105.8	-1.00	403	66.5	SL
F60E2VT	E	60	2	V	T	?	F	1958	106.5	56.5	112.7	86.6	111.4	-1.00	629	70.4	SL
M15R1FT	R	15	1	F	T	?	M	791	68.9	37.2	87.3	57.7	107.8	-1.00	352	61.6	SL
M15R2VT	R	15	2	V	T	?	M	600	60.3	32.4	79.1	54.0	103.9	-1.00	247	64.2	SL
M40K1FT	K	40	1	F	T	?	M	907	79.1	42.8	91.9	81.0	94.2	-1.00	368	69.8	SL
M40K2VT	K	40	2	V	T	?	M	874	80.7	43.9	99.6	74.8	96.2	-1.00	331	71.4	SL
M56H1FT	H	56	1	F	T	?	M	1197	80.4	42.9	99.9	78.6	91.1	-1.00	425	66.9	SL
M56H2VT	H	56	2	V	T	?	M	914	87.1	46.7	103.1	85.2	92.1	-1.00	343	64.2	SL
M58D1FT	D	58	1	F	T	?	M	958	95.3	50.3	100.4	87.5	105.4	-1.00	436	69.4	SL
M58D2VT	D	58	2	V	T	?	M	1546	87.5	46.1	100.8	80.8	99.7	-1.00	606	70.3	SL
M66O1FT	O	66	1	F	T	?	M	1244	91.7	48.6	101.1	90.9	95.6	-1.00	584	66.8	SL
M66O2VT	O	66	2	V	T	?	M	1242	81.1	43.1	104.4	74.8	92.1	-1.00	535	67.1	SL
F20N1FS	N	20	1	F	S	?	F	989	91.9	49.0	109.8	75.2	104.4	-1.00	389	63.3	SL
F20N2VS	N	20	2	V	S	?	F	1662	99.0	52.4	124.2	70.0	108.2	-1.00	658	65.1	SL
F24I1FS	I	24	1	F	S	?	F	1255	80.6	42.4	88.1	78.8	103.3	-1.00	508	67.2	SL
F24I2VS	I	24	2	V	S	?	F	1525	98.0	52.5	116.4	70.7	113.1	-1.00	592	68.2	SL
F28G1FS	G	28	1	F	S	?	F	1304	103.3	54.4	112.1	96.4	96.8	-1.00	523	61.3	SL
F28G2VS	G	28	2	V	S	?	F	2229	98.1	51.8	111.1	83.6	103.5	-1.00	827	62.6	SL
F40L1FS	L	40	1	F	S	?	F	1221	103.4	55.1	99.7	96.5	109.1	-1.00	529	65.1	SL
F40L2VS	L	40	2	V	S	?	F	1354	97.9	51.4	99.7	85.0	113.1	-1.00	460	65.1	SL
F60E1FS	E	60	1	F	S	?	F	1136	111.7	58.7	109.7	103.2	104.1	-1.00	533	65.1	SL
F60E2VS	E	60	2	V	S	?	F	2122	112.9	60.1	118.6	87.7	113.7	-1.00	814	69.8	SL
M15R1FS	R	15	1	F	S	?	M	784	71.0	37.7	92.0	56.0	109.1	-1.00	373	61.5	SL
M15R2VS	R	15	2	V	S	?	M	522	55.0	29.3	70.1	60.9	93.4	-1.00	238	60.8	SL
M40K1FS	K	40	1	F	S	?	M	915	80.3	43.7	90.9	86.4	91.6	-1.00	434	67.4	SL
M40K2VS	K	40	2	V	S	?	M	817	80.0	43.7	103.1	72.0	94.8	-1.00	360	70.2	SL
M56H1FS	H	56	1	F	S	?	M	1256	79.0	42.6	99.0	77.1	91.3	-1.00	563	66.5	SL
M56H2VS	H	56	2	V	S	?	M	923	81.5	44.0	98.1	81.9	91.2	-1.00	334	65.0	SL
M58D1FS	D	58	1	F	S	?	M	1091	91.4	48.1	93.3	91.5	102.2	-1.00	613	67.7	SL
M58D2VS	D	58	2	V	S	?	M	1575	87.0	46.4	99.9	82.6	97.8	-1.00	767	69.2	SL
M66O1FS	O	66	1	F	S	?	M	1353	92.0	48.8	100.0	91.9	95.9	-1.00	671	66.7	SL
M66O2VS	O	66	2	V	S	?	M	1245	84.2	45.0	105.0	76.9	94.5	-1.00	573	66.1	SL
F20N1FW	N	20	1	F	W	?	F	181	101.4	54.7	110.5	79.8	113.6	-1.00	189	60.0	SL
F20N2VW	N	20	2	V	W	?	F	247	111.7	60.4	119.3	85.3	114.1	-1.00	243	60.7	SL
F24I1FW	I	24	1	F	W	?	F	206	85.1	45.9	88.3	87.6	101.2	-1.00	130	67.6	SL
F24I2VW	I	24	2	V	W	?	F	238	101.3	54.7	111.7	82.7	108.9	-1.00	164	67.4	SL
F28G1FW	G	28	1	F	W	?	F	213	133.0	70.0	117.4	119.9	108.8	-1.00	194	58.0	SL
F28G2VW	G	28	2	V	W	?	F	246	108.5	57.5	112.6	99.4	100.7	-1.00	179	60.1	SL
F40L1FW	L	40	1	F	W	?	F	202	116.0	62.5	103.6	98.9	121.2	-1.00	127	68.7	SL
F40L2VW	L	40	2	V	W	?	F	234	113.6	59.1	108.5	96.0	115.7	-1.00	139	65.1	SL
F60E1FW	E	60	1	F	W	?	F	206	105.3	54.5	104.1	102.0	101.7	-1.00	158	65.5	SL
F60E2VW	E	60	2	V	W	?	F	315	130.0	70.0	126.6	103.8	112.3	-1.00	181	69.5	SL
M15R1FW	R	15	1	F	W	?	M	185	65.5	34.9	81.7	58.0	106.8	-1.00	107	60.0	SL
M15R2VW	R	15	2	V	W	?	M	170	66.1	35.3	81.7	58.1	107.9	-1.00	97	59.6	SL
M40K1FW	K	40	1	F	W	?	M	186	82.3	44.9	89.7	87.0	95.6	-1.00	163	68.2	SL
M40K2VW	K	40	2	V	W	?	M	190	96.9	51.7	111.4	84.1	100.8	-1.00	166	69.1	SL
M56H1FW	H	56	1	F	W	?	M	218	90.4	48.9	102.9	84.5	98.4	-1.00	144	67.0	SL
M56H2VW	H	56	2	V	W	?	M	241	88.5	48.0	102.3	87.0	93.3	-1.00	144	66.7	SL
M58D1FW	D	58	1	F	W	?	M	194	103.4	55.1	96.7	103.3	105.2	-1.00	242	63.1	SL
M58D2VW	D	58	2	V	W	?	M	279	100.2	53.1	98.4	102.5	99.4	-1.00	214	67.1	SL
M66O1FW	O	66	1	F	W	?	M	200	101.0	53.5	103.0	98.1	100.4	-1.00	179	64.8	SL
M66O2VW	O	66	2	V	W	?	M	219	98.2	52.2	113.5	94.5	90.1	-1.00	168	64.9	SL
F20N1FY	N	20	1	F	Y	?	F	124	95.0	53.2	107.5	74.8	112.3	-1.00	188	60.3	SL
F20N2VY	N	20	2	V	Y	?	F	205	116.9	66.5	124.1	86.4	115.6	-1.00	317	60.4	SL
F24I1FY	I	24	1	F	Y	?	F	165	101.9	53.2	101.5	96.9	104.5	-1.00	139	67.6	SL
F24I2VY	I	24	2	V	Y	?	F	195	135.5	73.6	129.2	109.7	110.8	-1.00	228	67.0	SL
F28G1FY	G	28	1	F	Y	?	F	147	140.6	74.0	116.5	120.6	118.8	-1.00	181	58.6	SL
F28G2VY	G	28	2	V	Y	?	F	195	134.1	70.1	120.6	115.6	111.3	-1.00	243	59.9	SL
F40L1FY	L	40	1	F	Y	?	F	130	131.5	68.5	105.2	114.6	124.6	-1.00	110	70.1	SL
F40L2VY	L	40	2	V	Y	?	F	183	140.8	75.7	110.8	119.5	126.0	-1.00	147	65.6	SL
F60E1FY	E	60	1	F	Y	?	F	137	103.7	53.8	101.7	100.5	103.2	-1.00	139	65.2	SL
F60E2VY	E	60	2	V	Y	?	F	215	131.2	70.4	120.4	121.6	102.2	-1.00	216	67.2	SL
M15R1FY	R	15	1	F	Y	?	M	126	75.9	39.9	83.2	69.6	111.1	-1.00	93	60.9	SL
M15R2VY	R	15	2	V	Y	?	M	153	79.1	42.0	90.3	75.6	102.0	-1.00	117	58.6	SL
M40K1FY	K	40	1	F	Y	?	M	125	96.8	51.0	90.5	101.5	103.3	-1.00	135	67.6	SL
M40K2VY	K	40	2	V	Y	?	M	157	127.0	69.2	125.1	104.9	108.6	-1.00	172	66.5	SL
M56H1FY	H	56	1	F	Y	?	M	137	101.1	54.4	105.8	88.9	107.5	-1.00	138	68.0	SL
M56H2VY	H	56	2	V	Y	?	M	203	107.2	57.6	108.1	102.6	99.9	-1.00	196	67.5	SL
M58D1FY	D	58	1	F	Y	?	M	141	114.3	59.7	93.6	116.4	111.4	-1.00	231	63.1	SL
M58D2VY	D	58	2	V	Y	?	M	206	126.1	69.7	116.4	108.6	112.0	-1.00	255	65.8	SL
M66O1FY	O	66	1	F	Y	?	M	143	110.7	56.0	103.0	108.0	104.6	-1.00	171	64.7	SL
M66O2VY	O	66	2	V	Y	?	M	151	121.5	65.9	114.8	116.8	99.4	-1.00	176	65.5	SL
