Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR	N	20	1	F	R	?	F	1438	92.8	49.4	104.6	75.1	111.2	15.66	608	64.1	Burg
F20N2VR	N	20	2	V	R	?	F	826	92.0	48.4	107.4	67.7	116.1	15.84	290	67.5	Burg
F24I1FR	I	24	1	F	R	?	F	1297	97.8	52.1	106.3	85.2	105.9	16.22	545	65.0	Burg
F24I2VR	I	24	2	V	R	?	F	250	113.4	61.1	113.8	87.3	119.7	16.28	163	64.6	Burg
F28G1FR	G	28	1	F	R	?	F	1401	128.5	68.1	117.2	103.2	120.0	16.02	475	61.2	Burg
F28G2VR	G	28	2	V	R	?	F	1105	113.7	60.2	108.9	89.3	123.0	16.04	347	62.7	Burg
F40L1FR	L	40	1	F	R	?	F	1438	92.8	49.4	104.6	75.1	111.2	15.66	608	64.1	Burg
F40L2VR	L	40	2	V	R	?	F	826	92.0	48.4	107.4	67.7	116.1	15.84	290	67.5	Burg
F60E1FR	E	60	1	F	R	?	F	1438	92.8	49.4	104.6	75.1	111.2	15.66	608	64.1	Burg
F60E2VR	E	60	2	V	R	?	F	826	92.0	48.4	107.4	67.7	116.1	15.84	290	67.5	Burg
M15R1FR	R	15	1	F	R	?	M	849	66.2	35.0	77.3	52.7	121.4	16.80	389	62.6	Burg
M15R2VR	R	15	2	V	R	?	M	334	54.5	28.8	75.1	47.3	104.5	16.70	160	60.2	Burg
M40K1FR	K	40	1	F	R	?	M	399	83.9	45.9	93.6	85.9	95.5	16.78	222	69.7	Burg
M40K2VR	K	40	2	V	R	?	M	452	98.6	52.5	99.7	89.5	109.2	16.77	217	68.4	Burg
M56H1FR	H	56	1	F	R	?	M	1570	96.5	51.2	98.5	89.4	107.2	17.15	683	66.6	Burg
M56H2VR	H	56	2	V	R	?	M	342	74.8	38.6	88.7	70.5	101.7	16.88	138	64.3	Burg
M58D1FR	D	58	1	F	R	?	M	1233	95.0	50.0	91.9	86.8	114.8	17.05	542	65.0	Burg
M58D2VR	D	58	2	V	R	?	M	265	92.4	48.3	97.2	78.4	114.5	16.92	130	65.2	Burg
M66O1FR	O	66	1	F	R	?	F	1600	119.2	62.3	101.7	107.0	119.3	16.32	1046	63.5	Burg
M66O2VR	O	66	2	V	R	?	F	618	114.8	59.8	104.3	100.8	116.6	16.27	300	64.7	Burg
F20N1FT	N	20	1	F	T	?	F	963	94.7	49.5	105.9	78.3	109.3	15.50	351	64.5	Burg
F20N2VT	N	20	2	V	T	?	F	1649	93.5	48.9	110.1	71.3	111.3	15.83	567	65.5	Burg
F24I1FT	I	24	1	F	T	?	F	1142	85.9	45.2	86.5	79.9	113.5	16.47	367	69.1	Burg
F24I2VT	I	24	2	V	T	?	F	1451	95.9	51.0	102.8	74.9	118.7	16.41	485	70.4	Burg
F28G1FT	G	28	1	F	T	?	F	1234	130.1	69.5	109.7	111.1	121.6	16.02	458	63.7	Burg
F28G2VT	G	28	2	V	T	?	F	2116	117.6	62.4	112.5	93.5	120.1	16.18	646	63.9	Burg
F40L1FT	L	40	1	F	T	?	F	963	94.7	49.5	105.9	78.3	109.3	15.50	351	64.5	Burg
F40L2VT	L	40	2	V	T	?	F	1649	93.5	48.9	110.1	71.3	111.3	15.83	567	65.5	Burg
F60E1FT	E	60	1	F	T	?	F	963	94.7	49.5	105.9	78.3	109.3	15.50	351	64.5	Burg
F60E2VT	E	60	2	V	T	?	F	1649	93.5	48.9	110.1	71.3	111.3	15.83	567	65.5	Burg
M15R1FT	R	15	1	F	T	?	F	700	88.2	46.8	94.3	62.9	130.7	16.55	352	61.6	Burg
M15R2VT	R	15	2	V	T	?	F	552	68.3	35.4	86.0	51.4	116.9	16.63	247	64.2	Burg
M40K1FT	K	40	1	F	T	?	F	883	105.2	56.0	100.2	97.3	110.4	16.65	368	69.8	Burg
M40K2VT	K	40	2	V	T	?	M	822	101.0	54.2	101.9	86.7	113.8	16.80	331	71.4	Burg
M56H1FT	H	56	1	F	T	?	M	1112	96.3	50.8	98.1	81.1	116.9	17.01	425	66.9	Burg
M56H2VT	H	56	2	V	T	?	M	848	96.3	50.2	98.6	81.8	115.5	17.49	343	64.2	Burg
M58D1FT	D	58	1	F	T	?	M	877	108.2	56.7	95.2	95.9	122.0	16.86	436	69.4	Burg
M58D2VT	D	58	2	V	T	?	M	1427	100.1	52.5	96.0	86.0	119.6	16.73	606	70.3	Burg
M66O1FT	O	66	1	F	T	?	F	1214	129.6	67.6	105.6	117.3	118.8	16.11	584	66.8	Burg
M66O2VT	O	66	2	V	T	?	F	1218	114.0	59.4	111.3	99.0	110.3	16.54	535	67.1	Burg
F20N1FS	N	20	1	F	S	?	F	990	88.2	46.5	102.6	75.6	105.0	15.51	389	63.3	Burg
F20N2VS	N	20	2	V	S	?	F	1656	94.5	49.8	113.1	71.7	109.5	15.79	658	65.1	Burg
F24I1FS	I	24	1	F	S	?	F	1251	87.8	45.9	85.1	82.7	115.0	16.49	508	67.2	Burg
F24I2VS	I	24	2	V	S	?	F	1528	99.5	52.9	109.6	72.6	120.3	16.19	592	68.2	Burg
F28G1FS	G	28	1	F	S	?	F	1315	123.4	64.9	109.8	103.7	120.0	16.08	523	61.3	Burg
F28G2VS	G	28	2	V	S	?	F	2233	115.4	60.9	109.4	95.8	117.7	16.07	827	62.6	Burg
F40L1FS	L	40	1	F	S	?	F	990	88.2	46.5	102.6	75.6	105.0	15.51	389	63.3	Burg
F40L2VS	L	40	2	V	S	?	F	1656	94.5	49.8	113.1	71.7	109.5	15.79	658	65.1	Burg
F60E1FS	E	60	1	F	S	?	F	990	88.2	46.5	102.6	75.6	105.0	15.51	389	63.3	Burg
F60E2VS	E	60	2	V	S	?	F	1656	94.5	49.8	113.1	71.7	109.5	15.79	658	65.1	Burg
M15R1FS	R	15	1	F	S	?	F	699	91.4	48.0	97.2	66.3	128.3	16.46	373	61.5	Burg
M15R2VS	R	15	2	V	S	?	M	489	53.8	27.8	79.6	43.5	102.9	16.76	238	60.8	Burg
M40K1FS	K	40	1	F	S	?	F	885	107.3	57.1	101.9	100.0	108.8	16.66	434	67.4	Burg
M40K2VS	K	40	2	V	S	?	F	766	131.2	70.6	115.0	101.1	128.3	16.57	360	70.2	Burg
M56H1FS	H	56	1	F	S	?	M	1177	91.7	48.7	96.6	77.8	114.5	17.00	563	66.5	Burg
M56H2VS	H	56	2	V	S	?	M	858	90.3	47.5	96.6	77.1	113.1	17.39	334	65.0	Burg
M58D1FS	D	58	1	F	S	?	M	1038	102.0	53.5	90.9	93.0	120.4	17.05	613	67.7	Burg
M58D2VS	D	58	2	V	S	?	M	1450	99.3	52.3	97.4	85.3	117.5	16.79	767	69.2	Burg
M66O1FS	O	66	1	F	S	?	F	1314	128.1	67.8	104.7	118.3	116.9	16.08	671	66.7	Burg
M66O2VS	O	66	2	V	S	?	F	1223	113.1	59.2	111.4	96.7	111.3	16.63	573	66.1	Burg
F20N1FW	N	20	1	F	W	?	F	181	111.8	59.0	106.4	92.3	119.3	15.64	189	60.0	Burg
F20N2VW	N	20	2	V	W	?	F	247	100.3	53.6	113.2	73.9	115.9	15.45	243	60.7	Burg
F24I1FW	I	24	1	F	W	?	F	206	93.1	49.4	92.6	82.6	115.7	16.38	130	67.6	Burg
F24I2VW	I	24	2	V	W	?	F	238	103.3	55.0	107.7	82.7	116.0	16.13	164	67.4	Burg
F28G1FW	G	28	1	F	W	?	F	213	137.9	70.7	113.0	110.0	129.7	16.20	194	58.0	Burg
