Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR	N	20	1	F	R	?	F	1425	86.9	45.5	92.9	82.4	105.1	15.58	608	69.6	Robust
F20N2VR	N	20	2	V	R	?	F	823	80.4	42.0	94.2	67.2	110.4	15.66	290	73.5	Robust
F24I1FR	I	24	1	F	R	?	F	1274	95.1	49.9	101.5	88.8	102.5	16.05	545	70.1	Robust
F24I2VR	I	24	2	V	R	?	F	253	107.2	58.3	106.2	95.9	108.7	15.91	163	70.9	Robust
F28G1FR	G	28	1	F	R	?	F	1370	112.1	58.9	106.7	95.9	115.4	15.69	475	67.2	Robust
F28G2VR	G	28	2	V	R	?	F	1092	103.2	53.7	101.9	87.3	116.6	15.64	347	68.5	Robust
F40L1FR	L	40	1	F	R	?	F	1425	86.9	45.5	92.9	82.4	105.1	15.58	608	69.6	Robust
F40L2VR	L	40	2	V	R	?	F	823	80.4	42.0	94.2	67.2	110.4	15.66	290	73.5	Robust
F60E1FR	E	60	1	F	R	?	F	1425	86.9	45.5	92.9	82.4	105.1	15.58	608	69.6	Robust
F60E2VR	E	60	2	V	R	?	F	823	80.4	42.0	94.2	67.2	110.4	15.66	290	73.5	Robust
M15R1FR	R	15	1	F	R	?	M	776	81.8	42.8	92.7	64.3	118.2	16.46	389	67.9	Robust
M15R2VR	R	15	2	V	R	?	M	305	75.9	39.7	88.5	57.5	121.2	16.45	160	65.1	Robust
M40K1FR	K	40	1	F	R	?	M	398	97.1	53.3	97.2	99.5	98.9	16.58	222	75.3	Robust
M40K2VR	K	40	2	V	R	?	F	460	108.9	57.9	98.4	104.3	110.5	16.29	217	74.6	Robust
M56H1FR	H	56	1	F	R	?	M	1603	109.0	59.2	104.7	99.9	108.7	16.77	683	72.4	Robust
M56H2VR	H	56	2	V	R	?	M	342	90.3	47.3	96.6	85.8	103.1	16.71	138	69.3	Robust
M58D1FR	D	58	1	F	R	?	M	1221	91.1	47.9	91.0	87.3	108.8	16.74	542	71.0	Robust
M58D2VR	D	58	2	V	R	?	M	265	90.4	47.4	94.1	81.3	110.9	16.62	130	71.2	Robust
M66O1FR	O	66	1	F	R	?	F	1581	101.6	52.7	95.3	111.0	96.6	16.32	1046	69.4	Robust
M66O2VR	O	66	2	V	R	?	M	620	97.6	51.1	99.1	93.7	103.7	16.39	300	70.4	Robust
F20N1FT	N	20	1	F	T	?	F	950	87.1	45.7	96.2	80.9	103.5	15.64	351	70.0	Robust
F20N2VT	N	20	2	V	T	?	F	1642	84.6	44.1	96.6	78.0	102.1	15.69	567	71.7	Robust
F24I1FT	I	24	1	F	T	?	F	1093	86.8	45.1	93.1	80.9	106.4	16.12	367	72.9	Robust
F24I2VT	I	24	2	V	T	?	F	1464	90.2	47.6	95.3	78.4	112.8	15.99	485	76.3	Robust
F28G1FT	G	28	1	F	T	?	F	1223	116.0	61.0	102.2	105.0	116.1	15.73	458	69.4	Robust
F28G2VT	G	28	2	V	T	?	F	2088	108.4	57.1	103.3	90.9	119.3	15.72	646	69.7	Robust
F40L1FT	L	40	1	F	T	?	F	950	87.1	45.7	96.2	80.9	103.5	15.64	351	70.0	Robust
F40L2VT	L	40	2	V	T	?	F	1642	84.6	44.1	96.6	78.0	102.1	15.69	567	71.7	Robust
F60E1FT	E	60	1	F	T	?	F	950	87.1	45.7	96.2	80.9	103.5	15.64	351	70.0	Robust
F60E2VT	E	60	2	V	T	?	F	1642	84.6	44.1	96.6	78.0	102.1	15.69	567	71.7	Robust
M15R1FT	R	15	1	F	T	?	F	647	95.6	51.7	92.9	68.3	138.4	16.21	352	67.5	Robust
M15R2VT	R	15	2	V	T	?	M	497	70.3	37.1	83.6	53.0	122.1	16.45	247	69.5	Robust
M40K1FT	K	40	1	F	T	?	M	886	98.8	53.2	99.2	92.9	106.3	16.44	368	75.5	Robust
M40K2VT	K	40	2	V	T	?	M	863	100.3	54.1	101.5	88.4	111.2	16.41	331	77.8	Robust
M56H1FT	H	56	1	F	T	?	M	1079	108.1	57.7	103.5	87.0	123.0	16.77	425	72.6	Robust
M56H2VT	H	56	2	V	T	?	M	855	104.8	55.2	106.1	86.4	115.7	16.80	343	70.1	Robust
M58D1FT	D	58	1	F	T	?	M	899	101.0	53.2	95.4	89.6	117.7	16.66	436	75.8	Robust
M58D2VT	D	58	2	V	T	?	M	1467	91.9	48.7	94.9	79.5	114.9	16.52	606	76.5	Robust
M66O1FT	O	66	1	F	T	?	M	1205	106.7	55.5	97.9	103.2	109.0	16.46	584	72.9	Robust
M66O2VT	O	66	2	V	T	?	M	1247	97.2	50.3	103.4	85.7	107.4	16.50	535	73.0	Robust
F20N1FS	N	20	1	F	S	?	F	973	80.0	42.0	95.1	75.1	99.0	15.63	389	68.7	Robust
F20N2VS	N	20	2	V	S	?	F	1674	84.6	44.0	97.7	77.0	102.2	15.67	658	71.6	Robust
F24I1FS	I	24	1	F	S	?	F	1194	83.4	43.3	92.6	78.2	104.1	16.12	508	70.7	Robust
F24I2VS	I	24	2	V	S	?	F	1529	92.9	49.1	99.7	77.3	113.9	15.91	592	74.3	Robust
F28G1FS	G	28	1	F	S	?	F	1290	114.4	60.0	102.8	101.9	116.6	15.75	523	66.9	Robust
F28G2VS	G	28	2	V	S	?	F	2167	103.8	54.4	102.1	88.4	116.1	15.67	827	68.0	Robust
F40L1FS	L	40	1	F	S	?	F	973	80.0	42.0	95.1	75.1	99.0	15.63	389	68.7	Robust
F40L2VS	L	40	2	V	S	?	F	1674	84.6	44.0	97.7	77.0	102.2	15.67	658	71.6	Robust
F60E1FS	E	60	1	F	S	?	F	973	80.0	42.0	95.1	75.1	99.0	15.63	389	68.7	Robust
F60E2VS	E	60	2	V	S	?	F	1674	84.6	44.0	97.7	77.0	102.2	15.67	658	71.6	Robust
M15R1FS	R	15	1	F	S	?	F	630	89.3	47.7	90.2	67.5	131.3	16.25	373	67.6	Robust
M15R2VS	R	15	2	V	S	?	M	445	70.9	36.8	86.9	54.5	116.8	16.53	238	65.4	Robust
M40K1FS	K	40	1	F	S	?	M	884	104.1	56.4	100.0	96.9	109.4	16.37	434	73.3	Robust
M40K2VS	K	40	2	V	S	?	F	795	108.9	58.0	99.5	93.8	120.7	16.32	360	76.9	Robust
M56H1FS	H	56	1	F	S	?	M	1146	105.7	56.2	101.8	87.1	121.0	16.76	563	72.2	Robust
M56H2VS	H	56	2	V	S	?	M	859	102.4	54.2	104.4	82.6	118.3	16.85	334	70.8	Robust
M58D1FS	D	58	1	F	S	?	M	1020	97.6	51.1	91.4	89.3	116.8	16.70	613	73.8	Robust
M58D2VS	D	58	2	V	S	?	M	1469	93.0	49.4	94.0	81.2	115.7	16.55	767	75.4	Robust
M66O1FS	O	66	1	F	S	?	M	1302	108.3	56.3	99.9	101.0	111.4	16.36	671	72.7	Robust
M66O2VS	O	66	2	V	S	?	M	1230	99.1	51.1	103.4	89.0	106.6	16.53	573	72.0	Robust
F20N1FW	N	20	1	F	W	?	F	176	87.2	45.9	91.1	86.2	103.3	15.61	189	64.8	Robust
F20N2VW	N	20	2	V	W	?	F	246	89.6	47.5	103.0	75.4	107.1	15.56	243	65.8	Robust
F24I1FW	I	24	1	F	W	?	F	197	96.0	50.7	97.1	93.4	103.6	16.16	130	70.6	Robust
F24I2VW	I	24	2	V	W	?	F	238	100.8	52.8	103.0	89.0	109.7	15.88	164	73.3	Robust
F28G1FW	G	28	1	F	W	?	F	218	130.3	67.5	110.0	113.9	118.6	15.80	194	63.9	Robust
F28G2VW	G	28	2	V	W	?	F	243	117.0	60.1	104.1	107.8	112.8	15.69	179	65.4	Robust
F40L1FW	L	40	1	F	W	?	F	176	87.2	45.9	91.1	86.2	103.3	15.61	189	64.8	Robust
F40L2VW	L	40	2	V	W	?	F	246	89.6	47.5	103.0	75.4	107.1	15.56	243	65.8	Robust
F60E1FW	E	60	1	F	W	?	F	176	87.2	45.9	91.1	86.2	103.3	15.61	189	64.8	Robust
F60E2VW	E	60	2	V	W	?	F	246	89.6	47.5	103.0	75.4	107.1	15.56	243	65.8	Robust
M15R1FW	R	15	1	F	W	?	M	180	87.0	46.7	93.6	69.1	120.7	16.33	107	64.8	Robust
M15R2VW	R	15	2	V	W	?	M	145	79.6	42.4	91.7	62.8	117.4	16.41	97	64.1	Robust
M40K1FW	K	40	1	F	W	?	M	180	98.7	54.5	99.8	90.2	108.5	16.66	163	73.4	Robust
M40K2VW	K	40	2	V	W	?	M	193	103.0	55.0	105.0	93.6	106.1	16.55	166	75.8	Robust
M56H1FW	H	56	1	F	W	?	M	205	95.0	51.8	100.2	73.9	121.2	16.77	144	72.6	Robust
M56H2VW	H	56	2	V	W	?	M	234	89.8	48.3	99.5	74.9	111.8	16.93	144	72.2	Robust
M58D1FW	D	58	1	F	W	?	M	187	114.0	61.1	92.3	104.4	124.8	16.80	242	69.1	Robust
M58D2VW	D	58	2	V	W	?	M	265	104.3	55.6	97.5	100.8	108.2	16.71	214	73.2	Robust
M66O1FW	O	66	1	F	W	?	M	197	112.3	58.8	104.3	105.5	108.0	16.33	179	70.8	Robust
M66O2VW	O	66	2	V	W	?	M	221	104.5	55.4	103.8	105.6	97.3	16.33	168	70.8	Robust
F20N1FY	N	20	1	F	Y	?	F	124	83.7	45.3	93.2	78.3	104.0	15.63	188	65.4	Robust
F20N2VY	N	20	2	V	Y	?	F	205	108.8	59.4	106.9	95.0	111.5	15.64	317	65.3	Robust
F24I1FY	I	24	1	F	Y	?	F	170	98.0	51.4	98.5	92.9	105.6	16.16	139	70.8	Robust
F24I2VY	I	24	2	V	Y	?	F	198	128.7	68.7	112.5	107.5	120.5	15.80	228	72.7	Robust
F28G1FY	G	28	1	F	Y	?	F	146	128.1	65.5	103.0	111.9	125.2	15.89	181	64.5	Robust
F28G2VY	G	28	2	V	Y	?	F	200	139.5	72.8	112.4	118.3	123.7	15.65	243	65.5	Robust
F40L1FY	L	40	1	F	Y	?	F	124	83.7	45.3	93.2	78.3	104.0	15.63	188	65.4	Robust
F40L2VY	L	40	2	V	Y	?	F	205	108.8	59.4	106.9	95.0	111.5	15.64	317	65.3	Robust
F60E1FY	E	60	1	F	Y	?	F	124	83.7	45.3	93.2	78.3	104.0	15.63	188	65.4	Robust
F60E2VY	E	60	2	V	Y	?	F	205	108.8	59.4	106.9	95.0	111.5	15.64	317	65.3	Robust
M15R1FY	R	15	1	F	Y	?	M	118	103.0	53.8	95.1	80.8	132.1	16.35	93	65.9	Robust
M15R2VY	R	15	2	V	Y	?	M	138	95.2	49.6	98.3	80.5	115.5	16.38	117	63.5	Robust
M40K1FY	K	40	1	F	Y	?	M	125	120.5	64.2	105.4	113.7	110.3	16.60	135	72.8	Robust
M40K2VY	K	40	2	V	Y	?	F	159	133.0	72.3	113.4	118.6	114.0	16.26	172	73.2	Robust
M56H1FY	H	56	1	F	Y	?	M	134	105.5	56.7	103.7	84.7	121.4	17.01	138	73.9	Robust
M56H2VY	H	56	2	V	Y	?	M	204	113.7	61.6	104.2	101.1	114.9	16.90	196	72.7	Robust
M58D1FY	D	58	1	F	Y	?	M	130	120.9	63.3	100.2	105.3	125.1	16.84	231	68.9	Robust
M58D2VY	D	58	2	V	Y	?	M	200	133.4	72.2	111.1	116.9	118.5	16.56	255	71.8	Robust
M66O1FY	O	66	1	F	Y	?	M	140	126.6	64.0	104.1	120.3	113.5	16.34	171	70.8	Robust
M66O2VY	O	66	2	V	Y	?	F	150	133.9	69.2	110.5	135.9	102.0	16.31	176	71.6	Robust
