Name	Speaker	Age	SessionNum	Session	Style	Num	Sex	N	Area2	Area1	i.dist	u.dist	a.dist	VTL	Duration	Intensity	Formant
F20N1FR	N	20	1	F	R	?	F	1441	96.4	52.1	111.6	73.1	112.4	16.57	608	64.1	SL
F20N2VR	N	20	2	V	R	?	F	829	90.0	48.4	117.0	56.2	117.8	16.27	290	67.5	SL
F24I1FR	I	24	1	F	R	?	M	1287	75.9	40.3	95.4	61.2	108.1	16.92	545	65.0	SL
F24I2VR	I	24	2	V	R	?	M	258	85.1	46.9	103.6	58.0	120.9	16.82	163	64.6	SL
F28G1FR	G	28	1	F	R	?	F	1401	105.3	56.7	119.3	89.5	100.1	16.65	475	61.2	SL
F28G2VR	G	28	2	V	R	?	M	1099	79.4	42.5	94.2	68.2	107.0	16.67	347	62.7	SL
F40L1FR	L	40	1	F	R	?	F	1441	96.4	52.1	111.6	73.1	112.4	16.57	608	64.1	SL
F40L2VR	L	40	2	V	R	?	F	829	90.0	48.4	117.0	56.2	117.8	16.27	290	67.5	SL
F60E1FR	E	60	1	F	R	?	F	1441	96.4	52.1	111.6	73.1	112.4	16.57	608	64.1	SL
F60E2VR	E	60	2	V	R	?	F	829	90.0	48.4	117.0	56.2	117.8	16.27	290	67.5	SL
M15R1FR	R	15	1	F	R	?	M	844	55.4	29.9	79.6	42.4	108.4	16.88	389	62.6	SL
M15R2VR	R	15	2	V	R	?	M	333	49.5	26.3	72.9	45.8	97.0	16.93	160	60.2	SL
M40K1FR	K	40	1	F	R	?	M	401	76.8	41.8	95.4	73.4	95.0	17.01	222	69.7	SL
M40K2VR	K	40	2	V	R	?	M	462	78.0	42.2	99.2	66.8	101.1	16.95	217	68.4	SL
M56H1FR	H	56	1	F	R	?	M	1574	78.3	41.9	99.8	72.6	94.2	17.41	683	66.6	SL
M56H2VR	H	56	2	V	R	?	M	347	65.5	34.3	86.2	67.2	90.3	17.32	138	64.3	SL
M58D1FR	D	58	1	F	R	?	M	1253	88.7	47.1	94.5	82.4	106.4	17.32	542	65.0	SL
M58D2VR	D	58	2	V	R	?	M	267	75.3	39.9	97.0	62.6	103.5	17.09	130	65.2	SL
M66O1FR	O	66	1	F	R	?	M	1602	79.2	41.6	93.5	82.1	91.5	16.74	1046	63.5	SL
M66O2VR	O	66	2	V	R	?	M	626	80.4	42.6	99.4	72.7	98.2	16.70	300	64.7	SL
F20N1FT	N	20	1	F	T	?	F	958	97.7	52.1	113.8	75.5	109.5	16.36	351	64.5	SL
F20N2VT	N	20	2	V	T	?	F	1648	96.1	51.3	119.7	66.6	111.9	16.26	567	65.5	SL
F24I1FT	I	24	1	F	T	?	M	1143	64.2	34.3	74.3	59.0	111.7	16.74	367	69.1	SL
F24I2VT	I	24	2	V	T	?	M	1451	75.0	40.5	95.3	52.2	118.8	16.86	485	70.4	SL
F28G1FT	G	28	1	F	T	?	M	1231	86.0	46.2	93.6	77.7	108.0	16.95	458	63.7	SL
F28G2VT	G	28	2	V	T	?	M	2109	82.6	44.3	95.3	68.2	111.8	16.89	646	63.9	SL
F40L1FT	L	40	1	F	T	?	F	958	97.7	52.1	113.8	75.5	109.5	16.36	351	64.5	SL
F40L2VT	L	40	2	V	T	?	F	1648	96.1	51.3	119.7	66.6	111.9	16.26	567	65.5	SL
F60E1FT	E	60	1	F	T	?	F	958	97.7	52.1	113.8	75.5	109.5	16.36	351	64.5	SL
F60E2VT	E	60	2	V	T	?	F	1648	96.1	51.3	119.7	66.6	111.9	16.26	567	65.5	SL
M15R1FT	R	15	1	F	T	?	M	721	67.5	35.6	90.1	49.8	112.7	16.77	352	61.6	SL
M15R2VT	R	15	2	V	T	?	M	550	55.4	29.2	80.9	42.6	106.6	16.75	247	64.2	SL
M40K1FT	K	40	1	F	T	?	M	894	76.0	41.1	92.0	71.3	99.5	16.86	368	69.8	SL
M40K2VT	K	40	2	V	T	?	M	822	74.6	40.6	100.4	57.4	105.3	16.94	331	71.4	SL
M56H1FT	H	56	1	F	T	?	M	1110	75.1	39.6	99.1	62.4	101.3	17.30	425	66.9	SL
M56H2VT	H	56	2	V	T	?	M	850	78.4	41.6	103.0	62.3	103.5	17.68	343	64.2	SL
M58D1FT	D	58	1	F	T	?	M	883	94.9	49.9	99.8	78.9	115.2	17.01	436	69.4	SL
M58D2VT	D	58	2	V	T	?	M	1436	89.1	47.3	100.8	75.0	109.1	16.92	606	70.3	SL
M66O1FT	O	66	1	F	T	?	M	1232	94.0	49.2	102.1	88.9	100.3	16.66	584	66.8	SL
M66O2VT	O	66	2	V	T	?	M	1233	83.3	43.6	106.9	69.6	99.4	16.86	535	67.1	SL
F20N1FS	N	20	1	F	S	?	F	989	91.5	48.9	110.2	72.0	107.1	16.24	389	63.3	SL
F20N2VS	N	20	2	V	S	?	F	1662	99.3	52.6	124.5	68.8	109.8	16.15	658	65.1	SL
F24I1FS	I	24	1	F	S	?	M	1255	63.9	34.2	71.6	60.8	111.8	16.79	508	67.2	SL
F24I2VS	I	24	2	V	S	?	M	1525	80.7	43.3	100.9	55.1	119.5	16.73	592	68.2	SL
F28G1FS	G	28	1	F	S	?	M	1304	82.7	44.2	94.7	74.9	104.6	16.79	523	61.3	SL
F28G2VS	G	28	2	V	S	?	M	2229	79.4	42.5	93.6	66.0	110.5	16.71	827	62.6	SL
F40L1FS	L	40	1	F	S	?	F	989	91.5	48.9	110.2	72.0	107.1	16.24	389	63.3	SL
F40L2VS	L	40	2	V	S	?	F	1662	99.3	52.6	124.5	68.8	109.8	16.15	658	65.1	SL
F60E1FS	E	60	1	F	S	?	F	989	91.5	48.9	110.2	72.0	107.1	16.24	389	63.3	SL
F60E2VS	E	60	2	V	S	?	F	1662	99.3	52.6	124.5	68.8	109.8	16.15	658	65.1	SL
M15R1FS	R	15	1	F	S	?	M	712	70.6	36.9	94.4	48.6	116.0	16.83	373	61.5	SL
M15R2VS	R	15	2	V	S	?	M	486	50.8	26.7	75.4	47.0	95.5	16.95	238	60.8	SL
M40K1FS	K	40	1	F	S	?	M	892	77.3	42.0	92.7	73.9	98.1	16.88	434	67.4	SL
M40K2VS	K	40	2	V	S	?	M	763	76.2	41.2	103.4	57.1	105.6	16.80	360	70.2	SL
M56H1FS	H	56	1	F	S	?	M	1182	74.6	39.8	98.8	63.1	99.8	17.25	563	66.5	SL
M56H2VS	H	56	2	V	S	?	M	863	73.3	39.1	99.4	59.0	101.8	17.63	334	65.0	SL
M58D1FS	D	58	1	F	S	?	M	1042	90.6	47.8	95.3	80.1	111.4	17.29	613	67.7	SL
M58D2VS	D	58	2	V	S	?	M	1466	87.9	46.8	100.7	74.6	107.6	16.96	767	69.2	SL
M66O1FS	O	66	1	F	S	?	F	1347	120.2	63.8	118.6	109.6	101.0	16.59	671	66.7	SL
M66O2VS	O	66	2	V	S	?	M	1243	83.7	43.9	107.8	68.8	100.4	16.93	573	66.1	SL
F20N1FW	N	20	1	F	W	?	F	181	100.5	54.4	109.9	78.4	114.4	16.10	189	60.0	SL
F20N2VW	N	20	2	V	W	?	F	247	111.1	60.2	118.9	81.3	118.1	16.34	243	60.7	SL
F24I1FW	I	24	1	F	W	?	M	206	65.5	35.8	70.8	64.3	111.6	16.70	130	67.6	SL
F24I2VW	I	24	2	V	W	?	M	238	81.1	44.0	97.3	60.7	116.6	16.83	164	67.4	SL
F28G1FW	G	28	1	F	W	?	M	213	104.8	54.9	99.5	93.8	114.4	16.69	194	58.0	SL
F28G2VW	G	28	2	V	W	?	F	246	109.3	57.9	113.8	93.6	106.7	16.63	179	60.1	SL
F40L1FW	L	40	1	F	W	?	F	181	100.5	54.4	109.9	78.4	114.4	16.10	189	60.0	SL
F40L2VW	L	40	2	V	W	?	F	247	111.1	60.2	118.9	81.3	118.1	16.34	243	60.7	SL
F60E1FW	E	60	1	F	W	?	F	181	100.5	54.4	109.9	78.4	114.4	16.10	189	60.0	SL
F60E2VW	E	60	2	V	W	?	F	247	111.1	60.2	118.9	81.3	118.1	16.34	243	60.7	SL
M15R1FW	R	15	1	F	W	?	M	180	63.5	33.7	87.9	48.7	108.2	16.78	107	60.0	SL
M15R2VW	R	15	2	V	W	?	M	157	64.7	34.4	87.9	51.3	107.1	16.81	97	59.6	SL
M40K1FW	K	40	1	F	W	?	M	186	81.7	43.9	94.0	80.8	96.8	16.78	163	68.2	SL
M40K2VW	K	40	2	V	W	?	M	182	88.2	46.8	112.1	69.4	103.0	16.80	166	69.1	SL
M56H1FW	H	56	1	F	W	?	M	201	83.4	43.9	101.4	68.6	106.1	17.25	144	67.0	SL
M56H2VW	H	56	2	V	W	?	M	234	83.8	45.4	103.2	71.8	101.2	17.55	144	66.7	SL
M58D1FW	D	58	1	F	W	?	M	188	101.4	53.4	99.5	89.0	114.5	17.46	242	63.1	SL
M58D2VW	D	58	2	V	W	?	M	267	103.7	55.1	100.9	94.7	110.1	17.13	214	67.1	SL
M66O1FW	O	66	1	F	W	?	F	201	135.5	72.7	125.8	120.1	103.9	16.50	179	64.8	SL
M66O2VW	O	66	2	V	W	?	F	218	119.2	63.8	125.6	106.5	96.3	16.65	168	64.9	SL
F20N1FY	N	20	1	F	Y	?	F	124	94.2	52.4	108.1	71.1	114.8	16.20	188	60.3	SL
F20N2VY	N	20	2	V	Y	?	F	205	115.6	65.8	123.8	82.9	118.2	16.17	317	60.4	SL
F24I1FY	I	24	1	F	Y	?	M	165	79.7	42.9	84.0	71.7	114.9	16.74	139	67.6	SL
F24I2VY	I	24	2	V	Y	?	M	195	106.4	59.1	111.7	81.9	117.6	16.97	228	67.0	SL
F28G1FY	G	28	1	F	Y	?	F	147	146.5	77.2	118.4	123.9	120.9	16.61	181	58.6	SL
F28G2VY	G	28	2	V	Y	?	F	195	134.1	71.1	121.4	111.6	114.5	16.63	243	59.9	SL
F40L1FY	L	40	1	F	Y	?	F	124	94.2	52.4	108.1	71.1	114.8	16.20	188	60.3	SL
F40L2VY	L	40	2	V	Y	?	F	205	115.6	65.8	123.8	82.9	118.2	16.17	317	60.4	SL
F60E1FY	E	60	1	F	Y	?	F	124	94.2	52.4	108.1	71.1	114.8	16.20	188	60.3	SL
F60E2VY	E	60	2	V	Y	?	F	205	115.6	65.8	123.8	82.9	118.2	16.17	317	60.4	SL
M15R1FY	R	15	1	F	Y	?	M	118	76.6	41.0	85.4	66.0	114.5	16.79	93	60.9	SL
M15R2VY	R	15	2	V	Y	?	M	150	81.8	44.3	97.6	72.6	102.5	16.75	117	58.6	SL
M40K1FY	K	40	1	F	Y	?	M	122	94.3	49.8	90.0	95.7	105.9	16.84	135	67.6	SL
M40K2VY	K	40	2	V	Y	?	M	154	122.4	66.2	118.7	95.6	118.4	16.87	172	66.5	SL
M56H1FY	H	56	1	F	Y	?	M	135	83.3	44.6	107.9	56.6	114.7	17.45	138	68.0	SL
M56H2VY	H	56	2	V	Y	?	M	203	105.5	57.5	109.5	91.4	107.7	17.19	196	67.5	SL
M58D1FY	D	58	1	F	Y	?	M	139	121.8	63.1	100.2	112.5	118.8	17.33	231	63.1	SL
M58D2VY	D	58	2	V	Y	?	M	198	123.3	68.0	116.0	100.7	116.8	16.97	255	65.8	SL
M66O1FY	O	66	1	F	Y	?	F	143	136.0	69.6	122.2	117.0	110.8	16.55	171	64.7	SL
M66O2VY	O	66	2	V	Y	?	M	149	125.3	66.2	115.1	110.8	110.0	16.77	176	65.5	SL
