Name	Speaker	T	Task	Nsyll	Npause	Duration	Phon.time	speech.rate	art.rate	ASD
F01T0Pataka	01	0	Pataka	29	0	7.27	6.87	3.99	4.22	0.237
F01T1Pataka	01	1	Pataka	36	0	9.74	9.74	3.70	3.70	0.271
F01T2Pataka	01	2	Pataka	59	2	18.52	17.53	3.19	3.37	0.297
F02T0Pataka	02	0	Pataka	80	2	14.29	11.81	5.60	6.78	0.148
F02T2Pataka	02	2	Pataka	65	1	10.93	10.51	5.95	6.18	0.162
F03T1Pataka	03	1	Pataka	170	1	35.62	35.08	4.77	4.85	0.206
F03T2Pataka	03	2	Pataka	97	6	19.72	16.52	4.92	5.87	0.170
F04T0Pataka	04	0	Pataka	95	8	31.08	15.03	3.06	6.32	0.158
F04T2Pataka	04	2	Pataka	35	2	7.19	6.10	4.87	5.74	0.174
F08T0Pataka	08	0	Pataka	55	0	11.23	10.05	4.90	5.47	0.183
F08T1Pataka	08	1	Pataka	49	1	10.83	9.91	4.52	4.94	0.202
F08T2Pataka	08	2	Pataka	31	1	6.06	5.39	5.11	5.75	0.174
F09T0Pataka	09	0	Pataka	51	0	8.45	8.45	6.04	6.04	0.166
F09T1Pataka	09	1	Pataka	63	3	20.22	12.74	3.12	4.95	0.202
F09T2Pataka	09	2	Pataka	47	2	9.91	8.40	4.74	5.59	0.179
F10T0Pataka	10	0	Pataka	65	0	9.49	9.49	6.85	6.85	0.146
F10T1Pataka	10	1	Pataka	101	2	26.04	19.97	3.88	5.06	0.198
F10T2Pataka	10	2	Pataka	87	2	19.56	18.58	4.45	4.68	0.214
F11T0Pataka	11	0	Pataka	67	3	11.65	10.45	5.75	6.41	0.156
F11T1Pataka	11	1	Pataka	96	0	22.01	22.01	4.36	4.36	0.229
F11T2Pataka	11	2	Pataka	88	0	18.22	17.73	4.83	4.96	0.202
F13T0Pataka	13	0	Pataka	108	0	15.17	13.44	7.12	8.04	0.124
F13T1Pataka	13	1	Pataka	47	1	7.80	7.48	6.02	6.28	0.159
F13T2Pataka	13	2	Pataka	64	2	13.50	10.91	4.74	5.86	0.171
F19T0Pataka	19	0	Pataka	60	6	12.14	9.21	4.94	6.52	0.153
F19T1Pataka	19	1	Pataka	42	0	7.25	7.25	5.79	5.79	0.173
F19T2Pataka	19	2	Pataka	50	1	12.21	11.80	4.09	4.24	0.236
F21T0Pataka	21	0	Pataka	106	5	17.08	13.66	6.20	7.76	0.129
F21T2Pataka	21	2	Pataka	66	0	12.61	12.61	5.23	5.23	0.191
F22T0Pataka	22	0	Pataka	126	0	19.10	19.10	6.60	6.60	0.152
F22T2Pataka	22	2	Pataka	44	0	6.92	6.92	6.36	6.36	0.157
F25T0Pataka	25	0	Pataka	35	0	7.06	4.64	4.96	7.54	0.133
F25T1Pataka	25	1	Pataka	47	0	7.53	7.53	6.24	6.24	0.160
F25T2Pataka	25	2	Pataka	58	0	10.45	8.62	5.55	6.73	0.149
